phrase,intent
I need a high-energy hip hop playlist for exercise,hip hop
Make a playlist with top rap hits,hip hop
Create a trap playlist for a party,hip hop
Set up a southern hip hop playlist for a chill vibe,hip hop
Play me some gangster rap music,hip hop
Give me an upbeat hip hop playlist for running,hip hop
I need a playlist with pop rap hits,hip hop
Make a workout playlist with hip hop,hip hop
Put on some classic rap songs,hip hop
Create a hip hop playlist with trap beats,hip hop
Make me a feel-good pop playlist for driving,pop
I want some dance pop for a party,pop
Play a lounge music playlist,pop
Set up a playlist of soft rock ballads,pop
Create an uplifting progressive house playlist,pop
I need a Latin pop playlist for the beach,pop
Give me a playlist of easy listening tunes,pop
Put on some mellow gold hits,pop
Make a pop playlist with funky grooves,pop
Play some feel-good pop songs,pop
Create a playlist with classic folk songs,folk
Set up a country rock playlist for a long drive,folk
I want some tropical folk tunes for a sunny day,folk
Play me some relaxing folk rock,folk
Make a folk playlist for winding down,folk
Give me a country rock playlist for a road trip,folk
Set up a mellow folk playlist for a cozy night,folk
Play soft folk music for a quiet evening,folk
Build a playlist with calm folk tunes,folk
I want a chill sleep playlist,miscellaneous
Play relaxing ambient sounds for bedtime,miscellaneous
Create a playlist for unwinding before sleep,miscellaneous
I need music to help me fall asleep,miscellaneous
Set up a sleep music playlist for relaxation,miscellaneous
Play soothing sleep sounds,miscellaneous
Make a playlist of soft sleep music,miscellaneous
Put on some peaceful music for rest,miscellaneous
Create a relaxing bedtime playlist,miscellaneous
Build a playlist with calming sleep tunes,miscellaneous
